구분,페이지,기능명,설명
사용자,로그인화면,로그인,구글 로그인 버튼을 눌러서 이미 계정이 있는 경우 바로 로그인되고 메인화면으로 이동한다.
,로그인화면,회원가입,"구글 로그인하여 계정이 생성되어 있지 않으면 계정 생성페이지로 이동한다.
프로필 이미지, 닉네임, 남김말을 등록할 수 있다.
닉네임은 필수로 입력해야 하며 서비스 이용약관, 개인정보 취급 방침을 체크하면 회원가입 버튼이 활성화된다.
닉네임은 고유값으로 중복체크 버튼을 눌러서 중복이 있는지 확인할 수 있다.
회원가입이 된 이후에는 메인화면으로 이동한다."
,메인화면,헤더,"헤더의 왼쪽에는 로고가 표시되고 가운데에는 검색어를 입력할 수 있는 입력창이 있다. 그리고 우측에는 검색버튼, 등록버튼, 설정버튼, 로그아웃 버튼이 아이콘으로 표시되어 있다."
,메인화면,게시물 검색,"헤더의 검색 버튼을 누르면 헤더에서 검색을 할 수 있도록 
검색어를 입력하고 검색 버튼을 누르면 그 검색어에 해당하는 태그의 컨텐츠들만 필터링 되어 표시된다."
,메인화면,게시물 등록,"헤더의 등록 버튼을 누르면 게시물 등록할 수 있는 다이얼로그가 표시된다.
컨텐츠는 텍스트만 올릴 수도 있고 사진이나 영상을 첨부할 수도 있다.
사진의 경우에는 최대 4장을 하나의 게시물에 추가할 수 있다. 그 중에 어떤 것을 대표 이미지로 할지 선택할 수 있다.
영상은 1개밖에 안된다.
게시물에 태그를 여러 개 등록할 수 있다. 태그는 검색에서 사용할 수 있다."
,메인화면,게시물 표시,"헤더 아래에는 사람들이 등록한 게시물이 리스트로 표시된다. 
사진이 있는 경우 대표 이미지가 표시되고 여러장인 경우 총 몇장인지 텍스트로 표시된다.
영상이 있는 경우 영상의 썸네일이 표시되고 플레이 버튼이 있다.
게시물에 댓글 개수가 표시된다. 
작성한 사용자의 닉네임과 프로필 이미지가 표시된다. 작성한 사용자를 클릭하면 프로필 화면으로 이동한다.
게시물 하나를 클릭하면 게시물 상세 화면으로 이동한다."
,메인화면,로그아웃,헤더의 로그아웃 버튼을 누르면 로그아웃 되고 로그인 페이지로 이동한다.
,게시물 상세 화면,게시물 표시,"게시물 상세 화면에서는 여러 장의 이미지가 모두 표시된다. 
비디오의 경우 비디오가 재생된다.
게시물의 등록된 댓글의 모두 표시된다. 댓글을 단 사람의 프로필 이미지와 닉네임, 댓글 메세지, 댓글 단 시각이 표시된다."
,게시물 상세 화면,게시물 댓글,"다른 사람이 작성한 게시물에는 댓글을 달 수 있다. 
한 사람이 하나의 게시물에는 1개밖에 댓글을 달 수 있다. (한 게시물에 같은 사람이 여러 번 댓글을 달 수 없음)
자신이 작성한 게시물에는 댓글을 달 수 없다."
,프로필 화면,프로필 표시,"피드화면에서 게시물을 작성한 사용자를 클릭하면 그 사용자의 정보를 볼 수 있는 페이지로 이동한다.
사용자 프로필 화면에서 사용자의 프로필 이미지, 닉네임, 남김말, 회원가입일, 작성한 컨텐츠 개수, 댓글을 단 개수가 표시 된다."
,설정 화면,회원 정보 수정,"메인화면 헤더의 설정 버튼을 누르면 설정 화면으로 이동한다.
설정화면에서는 회원가입시 등록했던 프로필 사진, 남김말, 닉네임을 수정할 수 있다.
닉네임은 수정전에 중복체크를 할 수 있다."
관리자,관리자 로그인화면,로그인,"관리자 로그인 페이지는 사용자 로그인 페이지와 진입경로가 다르다.
관리자는 구글 로그인이 아닌 이메일, 비밀번호로 로그인한다. 
관리자 이메일, 비밀번호는 미리 등록되어 있는 것으로 간주한다."
,관리자 페이지 구성,화면구성,"관리자는 좌측에 관리자가 사용가능한 메뉴 리스트가 표시된다.
대쉬보드, 사용자 관리, 컨텐츠 관리, 로그아웃 메뉴로 구성된다."
,대쉬보드,대쉬보드,"대쉬보드 페이지에서는 가입된 사용자의 수, 컨텐츠의 수가 표시된다."
,사용자 관리,사용자관리,"회원가입 한 사용자들의 리스트를 볼 수 있고 정보 수정, 삭제, 접속불가(블락) 설정을 할 수 있다."
,컨텐츠 관리,컨텐츠 관리,"사용자들이 작성한 컨텐츠를 모두 확인할 수 있고 컨텐츠 내용을 편집하거나 삭제를 할 수 있다.
특정 컨텐츠를 선택하면 그 컨텐츠에 등록된 사진, 영상들을 확인할 수 있다. 사진이나 영상을 삭제할 수 있다.
특정 컨텐츠를 선택하면 등록된 댓글들이 모두 표시되고 댓글들을 수정하거나 삭제할 수 있다."
